Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,ACACJ,,,Кирпич огнеупорный,,ГОСТ 8691-2018,,,"17.1.02.05-0022
17.2.01.02-1006
17.2.01.02-1012
17.2.01.02-1008
17.2.01.02-1010
59.1.17.01-0001
 59.1.17.01-0063
 59.1.17.01-0064
59.1.17.02-0003
59.1.17.02-0004
59.1.17.02-0005",,,,
,,,ACAD,,,,Блок для стеновых конструкций,,,,,"05.1.04
",,,,
,,,,ACADA,,,Блоки стеновые бетонные и железобетонные для зданий,,ГОСТ Р 59957-2021,,,,,,,
,,,,,ACADAA,,Блок для наружных стен,,ГОСТ Р 59957-2021,,,05.1.04.10-0001,,,,
,,,,,,ACADAA010,"Блок 1БН - простеночный, рядовой",,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA020,Блок 2БН - подоконный,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA030,Блок 3БН - перемычечный,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA040,Блок 4БН - поясной,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA050,Блок 5БН - парапетный,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA060,Блок 6БН - подкарнизный,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAA070,Блок 7БН - цокольный,,ГОСТ Р 59957-2021,,,,,,,
,,,,,ACADAB,,Блок для внутренних стен,,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAB010,"Блок БВ - простеночный, рядовой, блок лестничной клетки",,ГОСТ Р 59957-2021,,,,,,,
,,,,,,ACADAB020,Блок БВП - перемычечный и поясной,,ГОСТ Р 59957-2021,,,,,,,
,,,,ACADB,,,Изделие стеновое неармированные из ячеистого бетона автоклавного твердения,"Изделие, изготовленное из ячеистого конструкционно-теплоизоляционного бетона автоклавного твердения, предназначенное для применения в качестве несущего и самонесущего элемента в наружных стенах зданий и сооружений с сухим, нормальным и влажным режимами эксплуатации при неагрессивной среде, а также для внутренних стен и перегородок в помещениях с относительной влажностью воздуха не более 75% и неагрессивной средой",ГОСТ 31360-2007,,,,,,Определение синтезировано,
,,,,ACADC,,,Блок из ячеистого бетона стеновой мелкий,"Изделие из ячеистого бетона с прямоугольным, как правило, поперечным сечением и толщиной, незначительно меньшей его ширины, предназначенное для кладки наружных, внутренних стен и перегородок зданий с относительной влажностью воздуха помещений не более 75% и при неагрессивной среде","ГОСТ 31360-2007
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 03,,Определение синтезировано,
,,,,ACADD,,,Блоки и плиты перегородочные силикатные,,ГОСТ 379-2015,,,"59.1.05.02-0037
59.1.05.02-0036
59.1.05.02-0035
59.1.05.02-0034
59.1.05.02-0033
59.1.05.02-0032
59.1.05.02-0031
59.1.05.02-0030
59.1.05.02-0029
59.1.05.02-0028
59.1.05.02-0027
59.1.05.02-0026
59.1.05.02-0025
59.1.05.02-0024
59.1.05.02-0023
59.1.05.02-0022
59.1.05.02-0021
59.1.05.02-0020
59.1.05.02-0019
59.1.05.02-0018
59.1.05.02-0017
59.1.05.02-0016
59.1.05.02-0015
59.1.05.02-0014
59.1.05.02-0013
59.1.05.02-0012
59.1.05.02-0011
59.1.05.02-0010
59.1.05.02-0009
59.1.05.02-0037
59.1.05.02-0038
59.1.05.02-0039
59.1.05.02-0040
59.1.05.02-0041
59.1.05.02-0042
59.1.05.02-0043
59.1.05.02-0044
59.1.05.02-0045
59.1.05.02-0046
59.1.05.02-0047
59.1.05.02-0048
59.1.05.02-0049
59.1.05.02-0050

",,,,
,,,,ACADE,,,Блок керамзитобетонный стеновой,,"ГОСТ 33126-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,, 59.1.05.02-0097,,,,
,,,,ACADF,,,Блок керамзитогипсовый стеновой,,ГОСТ Р 56591-2015,,, 59.1.05.02-0097,,,,
,,,,,ACADFA,,Блок керамзитогипсовый рядовой,,,,,,,,,
,,,,,ACADFB,,Блок керамзитогипсовый лицевой,,,,,,,,,
,,,,ACADJ,,,Блок стеновой полистиролбетонный,,"СП 434.1325800.2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,05.2.02.10,,,,
,,,,ACADK,,,Блок стеклянный пустотелый,,"ГОСТ 9272-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.8.01.01-0022,,,,
,,,,ACADL,,,Блок керамзитобетонный перегородочный пустотелый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.2.02.06-1010,,,,
,,,,ACADM,,,Блок стеновой из ячеистых бетонов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.2.02.09,,,,
,,,ACAE,,,,Перемычка,"Конструктивный элемент - балка, перекрывающий оконный или дверной проемы в стене и воспринимающий нагрузку от вышерасположенной конструкции","ГОСТ 948-2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"59.1.05.01-0747
9.1.05.01-0739
9.1.05.01-0740
9.1.05.01-0741
9.1.05.01-0742
9.1.05.01-0743
9.1.05.01-0744
9.1.05.01-0745
9.1.05.01-0746
05.1.03.09
05.1.03.11
59.1.05.01-1716",ЭЛ 30 16 45,,,
,,,,ACAEA,,,Перемычка железобетонная для зданий с кирпичными стенами,"Железобетонная балка, применяемая для перекрытия оконного или дверного проемов в стене и воспринимающая нагрузку от вышерасположенной конструкции",ГОСТ 948-2016,,,"05.1.03.09
05.1.03.11
59.1.05.01-0748
59.1.05.01-0749
59.1.05.01-0750
59.1.05.01-0751
59.1.05.01-0752
59.1.05.01-0753
59.1.05.01-0754
59.1.05.01-0755
59.1.05.01-0756
59.1.05.01-0757
59.1.05.01-0758
59.1.05.01-0759
59.1.05.01-0760
59.1.05.01-0761
59.1.05.01-0762
59.1.05.01-0763
59.1.05.01-0821
59.1.05.01-0822
59.1.05.01-0823
59.1.05.01-0824
59.1.05.01-0825
59.1.05.01-0826
59.1.05.01-0827
59.1.05.01-0828
59.1.05.01-0829
59.1.05.01-0830
59.1.05.01-0831
59.1.05.01-0832
59.1.05.01-0833
59.1.05.01-0834
59.1.05.01-0835
59.1.05.01-0836
59.1.05.01-0837
59.1.05.01-0838
59.1.05.01-0839
59.1.05.01-0840
59.1.05.01-0841
59.1.05.01-0842
59.1.05.01-0843
59.1.05.01-0844
59.1.05.01-0845
59.1.05.01-0846
59.1.05.01-0847
59.1.05.01-0848
59.1.05.01-0849
59.1.05.01-0850
59.1.05.01-0851
59.1.05.01-0852
59.1.05.01-0853
",,,,
,,,,ACAEB,,,Перемычка армированная надпроемная полистиролбетонная,"Армированное изделие из полистиролбетона плотностью 250 - 500 кг/м3, предназначенное для перекрытия оконных или дверных проемов в наружных стенах","СП 434.1325800.2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,59.1.12.02-0434,,,,
,,,ACAF,,,,Подушка опорная железобетонная,"Сборное железобетонное изделие, предназначенное для опирания стропильных конструкций на каменные стены жилых, общественных и производственных зданий",Серия 1.069.1-1,,,05.1.08.09,,,Определение синтезировано,
