Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,,,CCCD010,Колодец водопроводный полиэтиленовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.01,,,
,,,,,,CCCD020,Колодец дождевой пластиковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.02,,,
,,,,,,CCCD030,Колодец дождеприемный безлотковый полиэтиленовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.03,,,
,,,,,,CCCD040,Колодец дренажный пластиковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.04,,,
,,,,,,CCCD050,Колодец канализационный лотковый полиэтиленовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.05,,,
,,,,,,CCCD060,Колодец смотровой пластиковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.06,,,
,,,,,,CCCD070,Колодец универсальный пластиковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.07,,,
,,,,,,CCCD080,Колодец кабельный полимерный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.08,,,
,,,,,,CCCD090,Комплектующее для колодцев и систем водостока и канализации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.04.09,,,
,,,CCCE,,,,Комплектующие для бассейнов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.05
",,,
,,,,CCCEA,,,Решетки переливные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.05.01,,,
,,,,CCCEB,,,"Скиммеры, сливы, стоки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.05.02,,,
,,,,CCCEC,,,Трубы проходные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.05.03,ЭЛ 40 15 10 10,,
,,,CCCF,,,,Комплектующие для санитарно-технических изделий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.06
",,,
,,,,CCCFA,,,Бачки смывные керамические,"Керамический безнапорный, накапливающий воду резервуар, наполняемый автоматически из водопроводной сети, опорожняемый вручную или автоматически для промывания чаши унитаза","ГОСТ 21485-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.06.01,ЭЛ 40 50 40 60,Определение синтезровано,
,,,,CCCFB,,,Бачки смывные чугунные,"Чугунный безнапорный, накапливающий воду резервуар, наполняемый автоматически из водопроводной сети, опорожняемый вручную или автоматически для промывания чаши унитаза","ГОСТ 21485-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.06.02,ЭЛ 40 50 40 60,Определение синтезровано,
,,,,CCCFC,,,Вешалки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.03,,,
,,,,CCCFD,,,Гарнитура туалетная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.04,,,
,,,,CCCFE,,,Держатели,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.05,,,
,,,,CCCFF,,,Дозаторы для жидкого мыла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.06,,,
,,,,CCCFG,,,Кронштейны для душа,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.06.07,ЭЛ 40 45 10 10,,
,,,,CCCFH,,,Подводки гибкие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.08,,,
,,,,CCCFJ,,,Сифоны,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.09,,,
,,,,CCCFK,,,Трапы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.06.10,,,
,,,,CCCFL,,,Трубы сливные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.06.11,ЭЛ 40 15 10 10,,
,,,CCCG,,,,Узлы укрупненные монтажные для систем водоснабжения и канализации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.07
",,,
,,,CCCH,,,,Фильтры и комплектующие для системы водоснабжения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.08
",,,
,,,,,,CCCH010,Вставка магнитная к фильтрам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.08.01,,,
,,,,,,CCCH020,Патрон фильтрующий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.08.02,,,
,,,,,,CCCH030,Фильтр магнитный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.08.05,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,
,,,,,,CCCH040,Фильтр сетчатый из нержавеющей стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.08.06,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,
,,,,,,CCCH050,Фильтр сетчатый из углеродистой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.08.07,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,
,,,,,,CCCH060,Фильтр сетчатый латунный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.08.08,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,
,,,,,,CCCH070,Фильтр сетчатый чугунный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.08.09,"ЭЛ 40 15 30 60
ЭЛ 40 25 10 60",,
,,CCD,,,,,Материалы и изделия для системы водяного пожаротушения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.3
",,,
,,,CCDA,,,,"Рукава, стволы и головки для рукавов",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.3.01
",,,
,,,,,,CCDA010,Головки соединительные и нагнетательные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.3.01.01,,,
,,,,,,CCDA020,Рукав пожарный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.3.01.02,,,
,,,,,,CCDA030,Рукав поливочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.3.01.03,,,
,,,,,,CCDA040,Ствол пожарный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.3.01.04,,,
,,,CCDB,,,,Шкафы и щиты пожарные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.3.02
",,,
,,,,,,CCDB010,Комплект пожарного оборудования,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.3.02.01,,,
,,,,,,CCDB020,Шкаф пожарный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.3.02.02,ЭЛ 40 50 60 50,,
,,CCE,,,,,Изделие для систем теплоснабжения,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"18.5
",ЭЛ 40 25,,
,,,CCEA,,,,Грязевик,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"18.5.05
",ЭЛ 40 15 20 15,,
,,,,,,CCEA010,Грязевик из стальных труб и толстолистовой стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.5.05.01,,,
,,,,,,CCEA020,Грязевик из стальных электросварных и водогазопроводных труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.5.05.02,,,
,,,CCEB,,,,Конвекторы отопительные,"Отопительный прибор, отдающий теплоту преимущественно за счет свободной конвекции.
Конвектор, как правило, состоит из нагревательного элемента и кожуха, образующего необогреваемый канал для естественной конвекции","ГОСТ 31311-2005
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.5.06,ЭЛ 40 25 10 15,,
,,,CCEC,,,,Конденсатоотводчики и комплектующие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.5.07
",,,
,,,,,,CCEC010,Бак конденсационный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.5.07.01,ЭЛ 40 50 10 11,,
,,,,,,CCEC020,Конденсатоотводчик,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.5.07.02,ЭЛ 40 15 30 70,,
,,,,,,CCEC030,Сборник конденсата,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.5.07.03,,,
,,,,,,CCEC040,Трубка отвода конденсата,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.5.07.04,,,
,,,,,,CCEC050,Узел выкидных труб конденсатосборника,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.5.07.05,,,
