Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,,BJXA,,,Очистка поверхности кровли в местах примыкания кровли к радио и телеантеннам,,ГЭСНр 81-02-58-2020,,,,
,,,BJXB,,,Устройство бетонной подушки в местах примыкания кровли к радио и телеантеннам,,ГЭСНр 81-02-58-2020,,,,
,,,BJXC,,,"Оклейка поверхности подушки мешковиной, пропитанной суриком в местах примыкания кровли к радио и телеантеннам",,ГЭСНр 81-02-58-2020,,,,
,,,BJXD,,,Установка стальных гильз с зачеканкой зазоров смоляной паклей в местах примыкания кровли к радио и телеантеннам,,ГЭСНр 81-02-58-2020,,,,
,,,BJXE,,,Покрытие поверхности рубероидом в 3 слоя на мастике в местах примыкания кровли к радио и телеантеннам,,ГЭСНр 81-02-58-2020,,,,
,,,BJXF,,,Установка фартуков с креплением хомутами в местах примыкания кровли к радио и телеантеннам,,ГЭСНр 81-02-58-2020,,,,
,,BJY,,,,Смена кровли из черепицы,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-24,
,,,BJYA,,,Разборка кровли из черепицы,,ГЭСНр 81-02-58-2020,,,,
,,,BJYB,,,Подбор черепицы,,ГЭСНр 81-02-58-2020,,,,
,,,BJYC,,,Укладка черепицы по обрешетке с пригонкой,,ГЭСНр 81-02-58-2020,,,,
,,,BJYD,,,Крепление черепицы,,ГЭСНр 81-02-58-2020,,,,
,,,BJYE,,,Промазка швов со стороны чердака готовым цементным раствором с добавлением в него волокнистых веществ,,ГЭСНр 81-02-58-2020,,,,
,,,BJYF,,,Укладка фасонных деталей на коньки и ребра,,ГЭСНр 81-02-58-2020,,,,
,,,BJYG,,,"Обделка мест примыкания к слуховым окнам, трубам, брандмауэрам и другим выступающим частям с конопаткой швов",,ГЭСНр 81-02-58-2020,,,,
,,BJZ,,,,Прорезка борозд в старой кровле нарезчиками с алмазными дисками,,ГЭСНр 81-02-58-2020,По виду работ,,,
,,,BJZA,,,Прорезка борозд в старой рулонной кровле нарезчиками с алмазными дисками,,ГЭСНр 81-02-58-2020,По способу производства работ,, ГЭСНр 58-26,
,,,BJZB,,,Подготовка и проварка основания рулонной кровли с применением инфракрасного нагревателя для последующего устройства рулонной кровли,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-28,
,,,,BJZBA,,Уборка кровли при подготовке и проварка основания рулонной кровли с применением инфракрасного нагревателя для последующего устройства рулонной кровли,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBB,,Просушка кровли при подготовке и проварка основания рулонной кровли с применением инфракрасного нагревателя для последующего устройства рулонной кровли,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBC,,Вскрытие пузырей старой кровли,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBD,,Огрунтовка (смазка) кровли,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBE,,Подготовка битума (приготовление битумной крошки) для всего процесса,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBF,,Укладка битума на место проварки,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBG,,"Установка инфракрасного нагревателя на место проварки, проварка и перестановка его",,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBH,,Разравнивание битумной мастики после работы инфракрасного нагревателя,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBJ,,Грунтовка кровли и уплотнение ручным катком,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBK,,Засыпка битумной крошкой,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZBL,,"Подноска и снятие инструментов, нагревателя, материалов и отключение системы питания нагревателей",,ГЭСНр 81-02-58-2020,,,,
,,,BJZC,,,Ремонт рулонных кровель,,ГЭСНр 81-02-58-2020,По виду работ,," ГЭСНр 58-29
 ГЭСНр 58-30",
,,,,BJZCA,,Очистка поверхности для ремонта рулонных кровель,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCB,,Подъем материалов и инструмента для ремонта кровли на высоту,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCC,,Устранение вздутий и неровностей на поверхности старого рулонного ковра,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCD,,Сплошная грунтовка основания под применение приклеиваемых рулонных материалов на основе этилен-пропиленовых каучуков,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCE,,Распаковка рулонного материала и очистка поверхности от талька,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCF,,Обезжиривание поверхности кровельного рулонного материала,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCG,,Шлифовка поверхности кровельного рулонного материала,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCH,,Нанесение мастики на кровельный рулонный материал основе этилен-пропиленовых каучуков,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCJ,,Приклеивание рулонного кровельного материала основе этилен-пропиленовых каучуков к основанию,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCK,,Нанесение клея на поверхность кромки и заглаживание шва вручную,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCL,,Герметизация открытых краев швов внахлест и краев кровельного полотна основе этилен-пропиленовых каучуков,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCM,,Механизированное размельчение старого рубероидного покрытия,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCN,,Загрузка рубероидной массы в установку для приготовления горячей рубероидной массы,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCP,,Приготовление горячей рубероидной массы,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCQ,,Нанесение слоя покрытия горячей рубероидной,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCR,,Уплотнение слоя покрытия и выравнивание поверхности,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCS,,Очистка оборудования,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCT,,Подготовительные работы ремонта мягкой кровли из рубероида с применением инфракрасного нагревателя,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCU,,Грунтовка кровли для ремонта мягкой кровли из рубероида с применением инфракрасного нагревателя,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCV,,Тепловая обработка кровли инфракрасным нагревателем,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCW,,Подготовительные работы ко второй тепловой обработке,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCX,,Вторичная обработка кровли инфракрасным нагревателем,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCY,,Укладка нового рулонного ковра в один слой,,ГЭСНр 81-02-58-2020,,,,
,,,,BJZCZ,,Укладка второго слоя нового рулонного ковра,,ГЭСНр 81-02-58-2020,,,,
C,,,,,,Выполнение отделочных работ при капитальном ремонте,,,По виду работ,,,
,CA,,,,,Штукатурные ремонтные работы,,ГЭСНр 81-02-61-2020,По виду работ,,,
,,CAA,,,,Сплошное выравнивание штукатурки внутри здания,,ГЭСНр 81-02-61-2020,По виду работ,,ГЭСНр 61-1 ,
,,,CAAA,,,Нанесение раствора вручную с затиркой,,ГЭСНр 81-02-61-2020,,,,
,,,CAAB,,,Нанесение раствора для отделки плоскостей лузг и усенков,,ГЭСНр 81-02-61-2020,,,,
,,,CAAC,,,Приготовление 7% раствора дисперсии ПВА,,ГЭСНр 81-02-61-2020,,,,
,,,CAAD,,,Грунтовка поверхности для сплошного выравнивания штукатурки внутри здания,,ГЭСНр 81-02-61-2020,,,,
,,,CAAE,,,Приготовление полимерцементного раствора из сухой цементно-песчаной смеси 50% дисперсии ПВА,,ГЭСНр 81-02-61-2020,,,,
