Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,,JHDB,,,,Установка П-образных компенсаторов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-01-028,
,,,JHDC,,,,Установка сильфонных компенсаторов с несъемным кожухом,,ГЭСН 81-02-24-2020,,,ГЭСН 24-01-029,
,,JHE,,,,,Установка задвижек или клапанов стальных для горячей воды и пара,,ГЭСН 81-02-24-2020,,,ГЭСН 24-01-032,
,,JHF,,,,,Установка вентилей и клапанов обратных муфтовых,,ГЭСН 81-02-24-2020,,,ГЭСН 24-01-033,
,,JHG,,,,,Установка грязевиков при установке компенсаторов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-01-034,
,,JHH,,,,,Устройство золошлакопроводов,,ГЭСН 81-02-24-2020,по виду работ,,,
,,,JHHA,,,,Укладка лежневых опор для золошлакопроводов из сборных железобетонных элементов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-03-001,
,,,JHHB,,,,Укладка золошлакопроводов из стальных труб,,ГЭСН 81-02-24-2020,,,ГЭСН 24-03-002,
,,,JHHC,,,,Приварка фасонных сварных стальных частей золошлакопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-03-003,
,,JHJ,,,,,Очистка полости трубопровода продувкой воздухом при устройстве сетей наружного теплоснабжения,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-120,
,,JHK,,,,,Испытание сетей наружного теплоснабжения,,ГЭСН 81-02-24-2020,,,"ГЭСН 24-02-121
ГЭСН 24-02-122
ГЭСН 24-02-123
ГЭСН 24-02-124
ГЭСН 24-02-125",
,JJ,,,,,,Устройство магистральных и промысловых трубопроводов,,ГЭСН 81-02-25-2020,по виду работ,,,
,,JJA,,,,,Сборка труб в секции на трубосварочной базе,,ГЭСН 81-02-25-2020,по месту производства работ,,,
,,,JJAA,,,,Сварка труб на базе типа ЛСТ-ПАУ,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-01-001
ГЭСН 25-01-002",
,,,JJAB,,,,Сварка труб на базе типа ССТ-ПАУ,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-01-005
ГЭСН 25-01-006",
,,,JJAC,,,,Сварка труб на базе комплексом контактной сварки,,ГЭСН 81-02-25-2020,,,ГЭСН 25-01-012,
,,,JJAD,,,,Предварительный подогрев стыков труб при сварке на трубосварочной базе,,ГЭСН 81-02-25-2020,,,ГЭСН 25-01-015,
,,JJB,,,,,Сборка трубопроводов на трассе в нормальных условиях,,ГЭСН 81-02-25-2020,по особому условию производства работ,,,
,,,JJBA,,,,Механизированная (полуавтоматическая) сварка стыков труб на трассе,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-001
ГЭСН 25-02-002
ГЭСН 25-02-003
ГЭСН 25-02-004
ГЭСН 25-02-005
ГЭСН 25-02-006",
,,,JJBB,,,,Ручная сварка электродами с основным покрытием,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-011
ГЭСН 25-02-012
ГЭСН 25-02-013
ГЭСН 25-02-014",
,,,JJBC,,,,Ручная сварка электродами с целлюлозным покрытием,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-018
ГЭСН 25-02-019",
,,,JJBD,,,,Монтаж захлестов,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-023
ГЭСН 25-02-024
ГЭСН 25-02-025
ГЭСН 25-02-026",
,,,JJBE,,,,Врезка катушек,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-030
ГЭСН 25-02-031
ГЭСН 25-02-032
ГЭСН 25-02-033
ГЭСН 25-02-034",
,,,JJBF,,,,Сварка на трассе комплексом контактной сварки,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-036,
,,,JJBG,,,,Предварительный подогрев стыков труб при сварке на трассе,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-040,
,,,JJBH,,,,Устройство временных технологических дорог лежневого типа при строительстве трубопроводов,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-041,
,,,JJBJ,,,,Укладка трубопровода на опоры,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-050,
,,,JJBK,,,,Подъем и укладка демонтируемого нефтепровода на бровку траншеи без снятия изоляции,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-055,
,,,JJBL,,,,Вырезка дефектной секции (катушки) нефтепровода в траншее,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-080,
,,,JJBM,,,,Резка демонтируемых труб на трассе,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-085,
,,,JJBN,,,,Устройство переходов открытым способом из труб в заводской изоляции,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-090,
,,,JJBP,,,,Устройство защиты поверхностей матрасно-габионными изделиями,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-100 ,
,,,JJBQ,,,,Прокладка временных трубопроводов для гидроиспытания из труб ПМТ Д-150,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-110,
,,,JJBR,,,,Демонтаж временных трубопроводов для гидроиспытания из труб ПМТ Д-150,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-110,
,,,JJBS,,,,Устройство водоотлива при сборке магистральных и промысловых трубопроводов на трассе,,ГЭСН 81-02-25-2020,,,ГЭСН 25-02-130,
,,,JJBT,,,,Комбинированная сварка стыков труб на трассе,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-140
ГЭСН 25-02-141
ГЭСН 25-02-142
ГЭСН 25-02-143
ГЭСН 25-02-144
ГЭСН 25-02-145",
,,,JJBU,,,,Автоматическая сварка стыков труб на трассе,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-02-161
ГЭСН 25-02-162
ГЭСН 25-02-163
ГЭСН 25-02-164",
,,JJC,,,,,Сборка трубопроводов на трассе в особых условиях,,ГЭСН 81-02-25-2020,по особому условию производства работ ,,,
,,,JJCA,,,,Сварка трубопроводов в стесненных условиях,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-03-001
ГЭСН 25-03-002
ГЭСН 25-03-003
ГЭСН 25-03-004",
,,,JJCB,,,,Сварка трубопроводов на заболоченных участках трассы,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-03-010
ГЭСН 25-03-011
ГЭСН 25-03-012
ГЭСН 25-03-013",
,,,JJCC,,,,Сварка обетонированных труб,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-03-020
ГЭСН 25-03-021",
,,,JJCD,,,,Сварка трубопроводов на участках трассы с продольными уклонами,,ГЭСН 81-02-25-2020,,,"ГЭСН 25-03-028
ГЭСН 25-03-029
ГЭСН 25-03-030
ГЭСН 25-03-031
ГЭСН 25-03-032
ГЭСН 25-03-033",
