Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,GCA,,,Комплекс жилых объектов для постоянного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GCB,,,Комплекс жилых объектов специализированного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,GD,,,,Комплексы ОКС вспомогательной инфраструктуры среды населенных пунктов,,,По виду комплекса ОКС,,,
,,GDA,,,Комплекс вспомогательных объектов среды населенных пунктов,,,,,,
,GE,,,,"Комплексы ОКС обработки, утилизации, обезвреживания, размещения отходов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,GEA,,,Комплекс объектов коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GEB,,,Комплекс объектов отходов животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GEC,,,Комплекс объектов промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,GF,,,,Комплексы ОКС административно-делового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,GFA,,,Комплекс объектов коммуникаций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
