Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,RDB,,,Спортивные и оздоровительные объекты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.04.002. ,,,,
,,,RDBA,,Здание спортивного комплекса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.04.002.001,,,,
,,,RDBB,,Здание физкультурно-оздоровительного комплекса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.04.002.002,,,,
,,,RDBC,,Крытый ледовый каток,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.04.002.003,,,,
,,,RDBD,,"Сооружение спортивной площадки, манежа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0005",03.04.002.004,,,,
,,,RDBE,,Здание спортивного зала,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.04.002.005,,,,
,,,RDBF,,Здание спортивной базы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.04.002.006,,,,
,,RDC,,,Специализированные объекты по отдельным видам спорта ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0052,03.04.003.,,,,
,,,RDCA,,Легкоатлетический манеж,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0025
ZPG_0005
BPG_0011",03.04.003.001,,,,
,,,RDCB,,Конькобежный овал,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0025
XPG_0019
",03.04.003.002,,,,
,,,RDCC,,"Ипподром, манеж",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0025,03.04.003.003,,,,
,,,RDCD,,Велотрек,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
XPG_0019
BQ__0025",03.04.003.004,,,,
,,,RDCE,,Бассейн,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.04.003.005,,,,
,,,RDCF,,"Стрелковый тир, стрельбище",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0015
BF__0052
BPG_0005",03.04.003.006,,,,
,,,RDCG,,Сооружение для гребного и парусного спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
BF__0052
BPG_0005",03.04.003.007,,,,
,,,RDCH,,Сооружение для экстремальных видов спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0025
BPG_0005
XPG_0003
",03.04.003.008,,,,
,,,RDCJ,,Автодром,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BQ__0025
BPG_0005",03.04.003.009,,,,
,,,RDCK,,Сооружение кортов для большого тенниса ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0005
",03.04.003.010,,,,
,,RDD,,,"Стадионы, арены",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0019 ,03.04.001.,,,,
,,,RDDA,,Сооружение стадиона (арены),,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",03.04.001.001,,,,
,RE,,,,"Вспомогательная инфраструктура здравоохранения, спорта, физической культуры, отдыха и развлечения",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.05. ,,,,
,,REA,,,Вспомогательные объекты досуга,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.05.001.,,,,
,,,REAA,,Административно-бытовое здание объектов досуга,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.001.001,,,,
,,,REAB,,Здание (сооружение) производственно-технического назначения объектов досуга,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.001.002,,,,
,,REB,,,Вспомогательные объекты лечебного обеспечения,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.05.002.,,,,
,,,REBA,,Административно-бытовое здание объектов лечебного обеспечения,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.002.001,,,,
,,,REBB,,Здание (сооружение) производственно-технического назначения объектов лечебного обеспечения,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.002.002,,,,
,,REC,,,Вспомогательные объекты объектов кратковременного проживания,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.05.003.,,,,
,,,RECA,,Административно-бытовое здание объектов кратковременного проживания,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.003.001,,,,
,,,RECB,,Здание (сооружение) производственно-технического назначения объектов кратковременного проживания,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.003.002,,,,
,,RED,,,Вспомогательные объекты спорта,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,03.05.004.,,,,
,,,REDA,,Административно-бытовое здание объектов спорта,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.004.001,,,,
,,,REDB,,Здание (сооружение) производственно-технического назначения объектов спорта,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",03.05.004.002,,,,
S,,,,,Объекты для хранения ,,,,,,,,,
,SA,,,,Склады и хранилища,,,,,,,,,
,,SAA,,,Cклады,"Специальные здания, строения, сооружения, помещения, открытые площадки или их части, обустроенные для целей хранения товаров и выполнения складских операций","ГОСТ Р 51303-2023
ГОСТ Р ИСО 6707-1-2020",,"XPW_0007
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001","06.05.001.001
06.05.002.001
06.05.003.004
06.05.003.004
06.05.004.001
06.05.004.005
08.08.001.004
08.08.002.001
07.12.005.004
05.05.001.003
11.06.001.003
11.06.002.003
11.06.003.003
11.06.004.003
11.06.005.003
01.06.001.003
04.09.003.002
02.06.001.003
02.06.002.003
09.03.001.004
10.10.001.004
03.05.001.003
03.05.002.003
03.05.003.003
03.05.004.003",,,,
,,,SAAA,,Склад пиломатериалов,,СП 2.13130.2020,,"BPG_0011 
BQ__0001 
XPW_0007 
BQ__0005 
ZPG_0005 
BPG_0005 ",06.05.002.001,,,,
,,,SAAB,,"Здание (сооружение) логистического центра, склада",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",01.01.006.001,,,,
,,,SAAC,,Склад сухих минеральных удобрений и химических средств защиты растений,"Здания, предназначенные для хранения агрохимикатов, в том числе сухих минеральных удобрений и химических мелиорантов, твердых и жидких затаренных пестицидов, химических консервантов кормов, жидкого аммиака, используемого в качестве удобрения и химического реагента",СП 92.13330.2012,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPW_0007","07.12.002.008
07.12.002.006",,,Определение синтезировано,
,,,SAAD,,Сооружение силоса,"Саморазгружающееся емкостное сооружение с высотой вертикальной части, не превышающей полуторную величину диаметра или меньшего размера в плане, в большинстве случаев цилиндрическое. Предназначен для перегрузки и длительного хранения сыпучих материалов",СП 92.13330.2012,,"BPG_0005 
XPW_0007",06.05.004.004,,,,
,,,SAAE,,Здание яйцесклада,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.05.005.006,,,,
,,,SAAF,,Здание (сооружение) склада легковоспламеняющихся жидкостей (ЛВЖ) и взрывоопасных химических веществ,,СП 4.13130.2013,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPW_0007","07.12.002.007
",,,,
,,,SAAG,,Склад для аварийно химически опасных веществ,,СП 302.1325800.2017,,,,,,,
,,,SAAH,,Железнодорожный (прирельсовый) склад аварийно химически опасных веществ,,СП 302.1325800.2017,,,,,,,
,,,SAAJ,,Склад взрывчатых материалов,,Приказ Ростехнадзора от 03.12.2020 N 494,,,,,,,
,,,SAAK,,Склад баллонов СУГ,"Помещение или специальные площадки, имеющие искробезопасное покрытие, ограждение и навес, предназначенные для хранения наполненных и/или порожних баллонов СУГ","
ГОСТ Р 53865-2019",,,,,,,
