Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,HEFA,,Сооружение шумозащитного экрана железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
XPG_0002
",04.04.006.001,,,,,KSI030001307
,,,HEFB,,Инженерно-техническое сооружение охраны на железной дороге ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0053
",04.04.006.002,,,,,KSI030001308
,HF,,,,Трубопроводный транспорт,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.07.,,,,,KSI030000683
,,HFA,,,Объекты магистральных газопроводов,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,BH__0011,04.07.001.,,,,,KSI030000684
,,,HFAA,,Сооружение лупинга магистрального газопровода,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,"XPG_0010
XF__0016
SPP_0009
CPG_0023
XPG_0003",04.07.001.002,,,,,KSI030001309
,,,HFAB,,Сооружение приёмо-сдаточного пункта (ПСП) магистральных газопроводов,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,"BPG_0005
XF__0016
",04.07.001.003,,,,,KSI030001310
,,,HFAC,,Сооружение трубопровода с отводами магистрального газопровода,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,"XF__0016
XPG_0019
SPP_0009
CPG_0023
XPG_0010",04.07.001.004,,,,,KSI030001311
,,,HFAD,,"Здание (сооружение) компрессорной, насосной станции",,"Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 55989-2014",,"BPG_0011
BQ__0001
BQ__0005
SPP_0006
ZPG_0005
BPG_0005
BH__0011",04.07.001.001,,,,,KSI030000694
,,,HFAE,,"Сооружение газораспределительной станции (ГРС, АГРС) газопровода ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
SPP_0009
",04.07.001.005,,,,,KSI030000698
,,,HFAG,,Сооружение газопроводов шлейфов,,"ГОСТ Р 55989-2014
СП 36.13330.2012
",,,04.07.001.099,,,,,KSI030000705
,,HFB,,,Объекты магистральных нефтепроводов (нефтепродуктопроводов),, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,04.07.002.,,,,,KSI030000708
,,,HFBA,,Сооружение приёмо-сдаточного пункта (ПСП) магистральных нефтепроводов (нефтепродуктопроводов),"Объект магистрального трубопровода, предназначенный для учета количества и оценки качества нефти/нефтепродуктов, на котором подразделения принимающей и сдающей сторон выполняют прием/сдачу нефти/нефтепродуктов.",ГОСТ Р 57512-2017,,"XF__0016
",04.07.002.005,,,,,KSI030000711
,,,HFBB,,Сооружение трубопровода с отводами магистрального нефтепровода (нефтепродуктопровода),"Сооружение из труб, соединительных деталей и арматуры для передачи на расстояние нефти"," Приказ Минстроя России от 02.11.2022 N 928/пр 
РД 153-39.4-113-01",,"SPP_0009
CPG_0023
XPG_0003
XPG_0010
BH__0011
",04.07.002.006 ,,,,,KSI030000713
,,,HFBC,,Сооружение лупинга магистрального нефтепровода (нефтепродуктопровода),,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPP_0009
CPG_0023
XPG_0003
XPG_0010
BH__0011",04.07.002.003,,,,,KSI030001312
,,,HFBD,,Сооружение участка нефтепровода (нефтепродуктопровода),,ГОСТ Р 57512-2017,,"SPP_0009
CPG_0023
XPG_0003
XPG_0010
BH__0011",04.07.002.006,,,,,KSI030000714
,,,HFBE,,Здание (сооружение) линейной производственно-диспетчерской станции (ЛПДС) нефтебазы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",04.07.002.001,,,,,KSI030001314
,,,HFBF,,Сооружение запорной арматуры магистрального нефтепровода (нефтепродуктопровода),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPP_0001
CPG_0012
",04.07.002.002,,,,,KSI030001315
,,,HFBG,,"Сооружение насосной, нефтеперекачивающей станции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
SPP_0006
BPG_0005
BH__0011
",04.07.002.004,,,,,KSI030001316
,,HFC,,,Объекты магистральных трубопроводов для транспортирования прочих жидкостей и газов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,04.07.003.,,,,,KSI030000730
,,,HFCA,,"Сооружение нагнетательной, насосной станции магистральных трубопроводов для транспортирования прочих жидкостей и газов ",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011
SPP_0006
",04.07.003.002,,,,,KSI030000731
,,,HFCB,,Сооружение трубопровода с отводами для транспортирования прочих жидкостей и газов ,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XF__0016
XPG_0019
SPP_0009
CPG_0023
XPG_0010
",04.07.003.003,,,,,KSI030000732
,,,HFCC,,Сооружение лупинга трубопровода  для транспортирования прочих жидкостей и газов ,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPP_0009
CPG_0023
XPG_0003
XPG_0010
XF__0016",04.07.003.001,,,,,KSI030001317
,HG,,,,Транспортные сооружения и переходы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.06.,,,,,KSI030000744
,,HGA,,,Мостовые сооружения,"Дорожное инженерное сооружение, состоящее из одного или нескольких пролетных строений и опор, прокладывающее транспортный или пешеходный путь над препятствиями в виде водотоков, водоемов, каналов, горных ущелий, городских улиц, железных и автомобильных дорог, трубопроводов и коммуникаций различного назначения"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53627-2009
ГОСТ 33384-2015
СП 35.13330",,XPG_0003,04.06.001. ,,,,,KSI030000745
,,,HGAA,,Сооружение автодорожного моста,"Мост на автомобильных дорогах, предназначенный для движения по нему транспортных средств","ГОСТ 33178-2014
СП 35.13330.2011
ГОСТ 33178-2014",,"BN__0026 
XPF_0015
XPG_0001
XPG_0003
",04.06.001.001,,,определение синтезировано,,KSI030000747
,,,HGAB,,Сооружение железнодорожного моста,"Мосты, на которых расположены пути железной дороги","СП 35.13330.2011 
СП 120.13330.2022 ",,"BN__0027
XPF_0015
XPG_0001
XPG_0003
",04.06.001.004,,,определение синтезировано,,KSI030000749
,,,HGAC,,Сооружение пешеходного моста,"Мост, предназначенный в основном для движения пешеходов",ГОСТ 33178-2014,,"XPF_0015
XPG_0001
XPG_0003
",04.06.001.007,,,,,KSI030000751
,,,HGAD,,Совмещенный мост,"Мост, предназначенный для совмещенного движения автомобильного и рельсового транспорта (железнодорожного, трамвайного, поездов метрополитена)",ГОСТ 33178-2014,,"BN__0026 
BN__0027
XPF_0015
XPG_0001
XPG_0003",04.06.001.009,,,,,KSI030000753
,,,HGAE,,Разводной мост,Мост с перемещающимися пролетными строениями для пропуска судов,ГОСТ 33178-2014,,,04.06.001.099,,,,,KSI030000754
,,,HGAF,,Транспортная развязка,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 58653-2019
СП 34.13330.2021",,"BF__0057
ZPD_0001
XPF_0015
XPG_0001",04.06.001.008,,,,,KSI030001320
,,,HGAG,,Сооружение железнодорожного путепровода-эстакады,,"СП 43.13330.2012
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"XPG_0019
XPG_0001
BF__0051
",04.06.001.005,,B,,,KSI030000759
,,,HGAH,,Сооружение надземного пешеходного перехода,,СП 43.13330.2012,,"XPF_0015
XPG_0001
XPG_0003
",04.06.001.006,,,,,KSI030000761
,,,HGAJ,,Сооружение автодорожного путепровода-эстакады,"Инженерное (искусственное) сооружение для пропуска транспортных средств, пешеходов, животных в местах пересечения автомобильной дороги с естественным или искусственным препятствием","СП 35.13330.2011
ТР ТС 014/2011",,"BN__0026 
XPF_0015
XPG_0001
XPG_0002
XPG_0003",04.06.001.002,,,Определение синтезировано,,KSI030000764
,,,HGAK,,Совмещенная эстакада,,ГОСТ 33178-2014,,,04.06.001.099,,,,,KSI030000768
,,,HGAL,,Сооружение виадука,"Мост, перекрывающий суходол или узкую долину"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 35.13330.2011
ГОСТ 33384-2015
ГОСТ 33178-2014
СП 120.13330.2022
СП 32-105-2004",,"XPF_0015
CPG_0039 
XPG_0003",04.06.001.003,,,,,KSI030000779
