Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,,,DBB010,Лоток телескопический,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Тр ТС 014/2011",,,05.1.01.10,,,,,KSI160002348
,,,,,,DBB020,Лоток прикромочный,,Тр ТС 014/2011,,,,,,,,KSI160002349
,,DBC,,,,,Блоки упора,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.1.01.10,,,,,KSI160002350
,,DBD,,,,,Элементы конструкций сопряжения,,,,,,,,,,KSI160002351
,,,DBDA,,,,Плиты переходные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,05.1.08.01,,,,,KSI160002352
,DC,,,,,,Изделия для технического регулирования,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.5.03
",,,,,KSI160002353
,,DCA,,,,,Блок разделительный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.5.03.01,,,,,KSI160002354
,,DCB,,,,,Делиниатор,"Сплошной направляющий элемент, применяемый вместо направляющих пластин для усиления направляющего и ограждающего воздействия на участках изменения траектории движения транспортных средств и разделения транспортных потоков","ОДМ 218.6.019-2016
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.5.03.02,,,Определение синтезировано,,KSI160002355
,,DCC,,,,,Знак дорожный,"Техническое средство организации движения с обозначениями и/или надписями, информирующими участников дорожного движения о дорожных условиях и режимах движения, расположении населенных пунктов и других объектах","ГОСТ Р 52289-2019
Приказ Минстроя России от 17.11.2022 N 969/пр
Тр ТС 014/2011",,,"01.5.03.03
01.5.03.05",,,,,KSI160002356
,,DCD,,,,,Столбик сигнальный дорожный,"Направляющее устройство, предназначенное для указания направления дороги и границ земляного полотна, а также для разделения транспортных потоков","ГОСТ 32843-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Тр ТС 014/2011",,,01.5.03.06,,,,,KSI160002357
,,DCE,,,,,Искусственная неровность,"Специально устроенное возвышение на проезжей части для принудительного снижения скорости движения, расположенное перпендикулярно к оси дороги","ГОСТ Р 52605-2006
Приказ Минстроя России от 17.11.2022 N 969/пр
Тр ТС 014/2011",,,01.5.03.07,,,,,KSI160002358
,,DCF,,,,,Элементы светоотражающие,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011",,,01.5.03.08,,,,,KSI160002359
,,DCG,,,,,Светофор,"Светосигнальное устройство, применяемое для регулирования очередности пропуска транспортных средств и пешеходов","ГОСТ 33385-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
ТР ТС 014/2011",,,01.5.03.09,,,,,KSI160002360
,,DCH,,,,,Элементы противоослепляющие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.5.03.08,,,,,KSI160002361
,,DCJ,,,,,Знак переменной информации,"Техническое средство организации дорожного движения, предназначенное для отображения дорожных знаков, за исключением знаков индивидуального проектирования",ГОСТ 32865-2014,,,01.5.03.03,,,,,KSI160002362
,,DCK,,,,,Дорожная тумба,"Элемент обустройства автомобильной дороги, относящийся к направляющим устройствам и применяющийся совместно с другими техническими средствами организации дорожного движения",ГОСТ 32759-2014,,,01.5.03.01,,,,,KSI160002363
,,DCL,,,,,Дорожная видеокамера,,СТО АВТОДОР 8.6-2016,,,61.3.01.01,,,,,KSI160002364
,,DCM,,,,,Дорожная метеостанция,,СТО АВТОДОР 8.6-2016,,,,,,,,KSI160002365
,DD,,,,,,Ленты стыковочные битумно-полимерные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.06.09,,,,,KSI160002366
,DE,,,,,,Элементы лестничных сходов,,ГОСТ Р 59432-2021,,,,,,,,KSI160002367
,,DEA,,,,,Косоуры лестничных сходов,,"ГЭСН 81-02-30-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.07.34
05.1.08.01
07.2.05.01
25.3.08.01",ЭЛ 30 16 38,,,,KSI160002368
,,DEB,,,,,Площадка лестничных сходов,,"ГЭСН 81-02-30-2020
ГОСТ Р 70313-2022",,,"07.2.05.01
25.3.08.01
05.1.07.25",,,,,KSI160002369
,,DED,,,,,Опорная плита лестничного схода,,ГЭСН 81-02-30-2020,,,,,,,,KSI160002370
,,DEE,,,,,Ступени лестничных сходов,,"ГЭСН 81-02-30-2020
ГОСТ Р 59432-2021",,,05.1.07.28,,,,,KSI160002371
,,DEF,,,,,Марши лестничных сходов,,ГОСТ Р 59432-2021,,,"07.2.05.01
25.3.08.01
05.1.07.09",,,,,KSI160002372
,,DEG,,,,,Поручни лестничных сходов,,ГОСТ Р 59432-2021,,,"01.5.02.02
05.3.01.13
05.3.02.13
09.3.02.01
11.1.01.15",,,,,KSI160002373
,,DEH,,,,,Перила (ограждения) лестничных сходов,,ГОСТ Р 59432-2021,,,09.3.02.,,,,,KSI160002374
,DF,,,,,,Опора дорожных знаков,Устройство (конструкция) для установки дорожного знака в определенном положении по отношению к проезжей части дороги,"ГОСТ 32846-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Тр ТС 014/2011",,,01.5.03.05,,,,,KSI160002375
,DG,,,,,,Ограждения и дополнительные сооружения автомобильных дорог,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,01.5.02.,ЭЛ 30 12,,,,KSI160002376
,,DGA,,,,,Шумозащитный экран,Протяженная естественная преграда или искусственное шумозащитное сооружение на пути распространения шума от транспортного потока к защищаемому от шума объекту,"СП 276.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 32957-2014 
ГОСТ 33329-2015",По принципу действия,акустический экран,01.5.02.04,ЭЛ 30 12 55,,,,KSI160002377
,,,,,,DGA010,Экран отражающий,"Шумозащитный экран, от которого звуковая энергия отражается в противоположную от защищаемого объекта сторону","СП 276.1325800.2016
Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 32957-2014 
ГОСТ 33329-2015",,,"01.5.02.05
",,,Определение синтезировано,,KSI160002378
,,,,,,DGA030,Экран отражающе-поглощающий,"Шумозащитный экран, который в результате поглощения части звуковой энергии способствует уменьшению уровней звука в застройке на противоположной стороне дороги и в салонах проезжающих автомобилей","СП 276.1325800.2016
Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 32957-2014 
ГОСТ 33329-2015",,,01.5.02.06,,,Определение синтезировано,,KSI160002379
,,DGB,,,,,Ограждение дорожное,"Устройство, предназначенное для обеспечения движения транспорта с наименьшими рисками столкновений и съездов с дорог, предотвращения переезда через разделительную полосу, столкновения со встречным транспортным средством, наезда на массивные препятствия и сооружения, расположенные на обочине в полосе отвода дороги, на разделительной полосе, снижения риска возможности падения пешеходов с дороги или мостового сооружения, а также для упорядочения движения пешеходов и предотвращения выхода животных на проезжую часть","ГОСТ 32846-2014
ГОСТ 33127-2014
ГОСТ 33128-2014",,, 01.5.02,,,,,KSI160002380
