Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,AED,,,Машина для разогрева битума и асфальтобетона,"Машины, предназначенные для разогрева битума и асфальтобетона",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04,,Определение синтезировано
,,,,AED010,"Битумная установка с 4-мя битумными котлами на 50 м3, резервуаром для хранения битума на 1000 м3 и газовым подогревом масляного теплоносителя",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04-001,,
,,,,AED020,Котел битумный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Котел битумный стационарный
Котел битумный передвижной
Котел битумный электрический","91.08.04-021 
91.08.04-022 
91.08.04-023 
91.08.04-024",ТО 18 65 10 03,
,,,,AED030,Котел битумоварочный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Котел битумоварочный дизельный
Котел битумоварочный электрический
Котел битумоварочный передвижной",,"ТО 18 65 10 01
ТО 18 65 10 02",
,,,,AED040,Котел маточный передвижной для приготовления термопластика,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04-025,,
,,,,AED050,Машина для разогрева асфальтобетонных покрытий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04-031,,
,,,,AED060,Машина плавильно-заливочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,AED070,"Нагреватель асфальтобетонного покрытия, предварительный",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04-041,,
,,,,AED080,Разогреватель асфальтобетонных покрытий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.04-051,,
,,,,AED090,Инфракрасная линейка-разогреватель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,"ТО 38 10 10 12
ТО 38 10 10 13",
,,AEE,,,Машина и агрегат бетоноукладочные,Машина и агрегат для укладки бетона,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.05,,Определение синтезировано
,,,,AEE010,Агрегат распределения бетона на железных дорогах,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.05-001,,
,,,,AEE020,Агрегат для бетонирования стен самоходный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.08.05-011,,
