Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,,XMB080,"отвод (фасонная деталь, фитинг)","Деталь трубопровода, обеспечивающая изменение направления потока транспортируемого вещества",ГОСТ 32569-2013,,,,,,,,,KSI060001146
,,,XMB090,патрубок,"отрезок трубы, присоединенный к трубопроводу и предназначенный для подключения трубопроводов, запорной арматуры или механотехнологического",ГОСТ 24856-2014,,,,,,,,,KSI060001148
,,,XMB100,"переход (фасонная деталь, фитинг)","фасонная деталь трубопровода, предназначенная для расширения или сужения потока транспортируемого вещества; в зависимости от способа изготовления переходы подразделяются на бесшовные, вальцованные и лепестковые",,,,,,,,,,KSI060001152
,,,XMB110,соединение ввертное (ниппельное),,,,,,,,,,,KSI060001188
,,,XMB120,тройник,,,,,,,,,,,KSI060001203
,,XMC,,бобышка,,ГОСТ 32569-2013,,,,,,,,,KSI060001020
,XN,,,неразъемное соединение,объект сопряжения для непрерываемой передачи механической силы,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000805
,,XNA,,фланцевая муфта,неразъемное соединение валов при помощи пары фланцев,,,IfcMotorConnection,,,ЭЛ 40 15 20 30,,,,KSI060000806
,,XNB,,разъемная муфта,неразъемное соединение валов при помощи разрезной втулки,,,IfcMotorConnection,,,ЭЛ 40 15 20 30,,,,KSI060000807
,,XNC,,муфта с V-образными зубьями,"неразъемное соединение между параллельными валами и канавками, попадающими в зацепление",,,IfcMotorConnection,,,ЭЛ 40 15 20 30,,,,KSI060000808
,,XND,,карданный шарнир,неразъемное соединение для передачи мощности смещенных валов,,,IfcMotorConnection,,,"ЭЛ 40 15 20 30
ЭЛ 40 15 20 40
ЭЛ 40 20 20 18",,,,KSI060000809
,,XNE,,винтовая сцепка,неразъемное соединение для захвата и соединения двух движущихся объектов,,,,,,,,,,KSI060000810
,,XNF,,шарнирно-рычажная сцепка,неразъемное соединение для закрепления двух движущихся объектов,,,,,,,,,,KSI060000811
,XP,,,разъемное соединение,объект сопряжения для прерываемой передачи механической силы,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000812
,,XPA,,фрикционная муфта,разъемное соединение для передачи энергии посредством сил трения,,,IfcMotorConnection,,,ЭЛ 40 15 20 30,,,,KSI060000813
,,XPB,,гидравлическое сцепление,разъемное соединение для передачи энергии при помощи гидродинамического эффекта,,,IfcMotorConnection,COUPLING,,,,,,KSI060000814
