Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,,HD20,Система снабжения теплом с тепловым насосом,Система снабжения теплом с применением тепловых насосов,,,"Система геотермального отопления
Система геотермального теплоснабжения",,,,
,,HD30,Система солнечного теплоснабжения,"Система, использующая солнечную энергию для частичного или полного покрытия нагрузки отопления и горячего водоснабжения данного потребителя",,ГОСТ 16504-81,Система солнечного отопления,,,,
,,HD40,Система снабжения теплом на основе сгорания топлива,"Система снабжения теплом, генерируемым в результате сгорания топлива",,,"Газовое отопление
Печное отопление
Котельная установка",,,,
,,HD50,Система снабжения теплом на основе электроэнергии,Система снабжения теплом с электроотопительными приборами,,,"Система электрического кабельного обогрева
Система кабельного обогрева
Система локального электрообогрева
Система распределенного электрообогрева
Система электрического напольного отопления",,,,
,,HD60,Система снабжения теплом на основе ядерной реакции,"Система снабжения теплом, генерируемым в результате ядерной реакции",,,Установка паротурбинная теплофикационная,,,,
,HE,,Комбинированная система тепло- и холодоснабжения,Система снабжения теплом и холодом,,ГОСТ 16504-81,"Установка теплового насоса
Система геотермального тепло- и хладоснабжения",IfcDistributionSystem,,,
,HF,,Система вентиляции,Система обеспечения вентиляцией,По типу исполнения,ГОСТ 16504-81,"Комбинированная система вентиляции
Система аварийной вентиляции
Тоннельная вентиляция",IfcDistributionSystem,"СС 30 20 20
СС 30 20 25",,
,,HF10,Система местной вентиляции,"Вытяжная или приточная механическая система, предотвращающая или снижающая распространение вредных веществ по объему обслуживаемого помещения или рабочей зоны",,ГОСТ 16504-81,,,,,
,,HF20,Система общеобменной вентиляции,Совокупность оборудования и мероприятий для осуществления воздухообмена в помещениях,,,,,СС 30 20 20,,
,,HF30,Система смешанной вентиляции,Система местной и общеобменной вентиляции,,,,,,,
,HG,,Система электроснабжения,Система снабжения электроэнергией,По условиям эксплуатации,ГОСТ 16504-81,Система электрооборудования (электроустановка),IfcDistributionSystem,СС 30 50,,
,,HG10,Система основного электроснабжения,Инженерная система обеспечения электроэнергией различных потребителей электрических сетей в нормальных условиях эксплуатации,,,"Система (тягового железнодорожного) электроснабжения переменного тока
Система (тягового железнодорожного) электроснабжения постоянного тока",,,,
,,HG20,Система резервного электроснабжения,Инженерная система обеспечения электроэнергией в случае прерывания основного питания,,ГОСТ 16504-81,Резервная система электропитания,,,,
,,HG30,Система непрерывного электроснабжения,Инженерная система обеспечения электроэнергией в случае отказа основного питания,,ГОСТ 16504-81,"Система бесперебойного электроснабжения
Система гарантированного электроснабжения",,,,
,,HG40,Система электроснабжения железнодорожного транспорта,Система снабжения электроэнергией подвижного состава железнодорожного транспорта,,,"Контактная сеть
Тяговая сеть",,,,
,HH,,Система освещения,Система обеспечения освещением,По типу системы,ГОСТ 16504-81,Утилитарное наружное освещение,IfcDistributionSystem,СС 20,,
